scenario_seed,uncertainty_level,planner,total_time_s,flight_distance_m,max_blackout_s,meets_90s_budget,mission_feasible,planning_runtime_ms,route
607,0.1,distance_only,1547.399,3533.345,192.921,0,0,0.022,N11 -> N09 -> N14 -> N13 -> N06 -> N07 -> N03 -> N08 -> N12 -> N05 -> N04 -> N10 -> N02 -> N01
607,0.1,protocol_aware,1164.381,3746.563,96.128,0,1,237.871,N03 -> N12 -> N02 -> N13 -> N04 -> N06 -> N07 -> N08 -> N05 -> N10 -> N09 -> N01 -> N14 -> N11
607,0.1,bounded_blackout,1512.819,3238.154,244.838,0,0,1546.288,N10 -> N14 -> N01 -> N05 -> N12 -> N11 -> N03 -> N02 -> N08 -> N09 -> N13 -> N06 -> N07 -> N04
608,0.0,distance_only,2141.19,2503.341,224.331,0,0,0.022,N06 -> N03 -> N05 -> N07 -> N10 -> N01 -> N04 -> N12 -> N08 -> N13 -> N11 -> N09 -> N02 -> N14
608,0.0,protocol_aware,1419.378,3643.21,60.577,1,1,395.146,N01 -> N06 -> N05 -> N12 -> N14 -> N11 -> N13 -> N07 -> N08 -> N09 -> N04 -> N02 -> N10 -> N03
608,0.0,bounded_blackout,1419.378,3643.21,60.577,1,1,2054.254,N01 -> N06 -> N05 -> N12 -> N14 -> N11 -> N13 -> N07 -> N08 -> N09 -> N04 -> N02 -> N10 -> N03
608,0.02,distance_only,2143.174,2503.341,221.312,0,0,0.022,N06 -> N03 -> N05 -> N07 -> N10 -> N01 -> N04 -> N12 -> N08 -> N13 -> N11 -> N09 -> N02 -> N14
608,0.02,protocol_aware,1421.227,3643.21,61.487,1,1,395.146,N01 -> N06 -> N05 -> N12 -> N14 -> N11 -> N13 -> N07 -> N08 -> N09 -> N04 -> N02 -> N10 -> N03
608,0.02,bounded_blackout,1421.227,3643.21,61.487,1,1,2054.254,N01 -> N06 -> N05 -> N12 -> N14 -> N11 -> N13 -> N07 -> N08 -> N09 -> N04 -> N02 -> N10 -> N03
608,0.05,distance_only,1786.15,2503.341,176.855,0,0,0.022,N06 -> N03 -> N05 -> N07 -> N10 -> N01 -> N04 -> N12 -> N08 -> N13 -> N11 -> N09 -> N02 -> N14
608,0.05,protocol_aware,1424.0,3643.21,62.629,1,1,395.146,N01 -> N06 -> N05 -> N12 -> N14 -> N11 -> N13 -> N07 -> N08 -> N09 -> N04 -> N02 -> N10 -> N03
608,0.05,bounded_blackout,1424.0,3643.21,62.629,1,1,2054.254,N01 -> N06 -> N05 -> N12 -> N14 -> N11 -> N13 -> N07 -> N08 -> N09 -> N04 -> N02 -> N10 -> N03
608,0.1,distance_only,1551.115,2503.341,80.705,1,0,0.022,N06 -> N03 -> N05 -> N07 -> N10 -> N01 -> N04 -> N12 -> N08 -> N13 -> N11 -> N09 -> N02 -> N14
608,0.1,protocol_aware,1788.622,3643.21,228.037,0,0,395.146,N01 -> N06 -> N05 -> N12 -> N14 -> N11 -> N13 -> N07 -> N08 -> N09 -> N04 -> N02 -> N10 -> N03
608,0.1,bounded_blackout,1788.622,3643.21,228.037,0,0,2054.254,N01 -> N06 -> N05 -> N12 -> N14 -> N11 -> N13 -> N07 -> N08 -> N09 -> N04 -> N02 -> N10 -> N03
609,0.0,distance_only,887.209,2934.49,101.362,0,1,0.022,N06 -> N09 -> N01 -> N13 -> N10 -> N11 -> N07 -> N12 -> N14 -> N08 -> N04 -> N02 -> N05 -> N03
609,0.0,protocol_aware,782.87,3593.725,75.341,1,1,389.008,N06 -> N09 -> N01 -> N10 -> N11 -> N13 -> N14 -> N03 -> N12 -> N07 -> N04 -> N08 -> N02 -> N05
609,0.0,bounded_blackout,782.87,3593.725,75.341,1,1,2264.563,N06 -> N09 -> N01 -> N10 -> N11 -> N13 -> N14 -> N03 -> N12 -> N07 -> N04 -> N08 -> N02 -> N05
609,0.02,distance_only,888.322,2934.49,100.854,0,1,0.022,N06 -> N09 -> N01 -> N13 -> N10 -> N11 -> N07 -> N12 -> N14 -> N08 -> N04 -> N02 -> N05 -> N03
609,0.02,protocol_aware,784.282,3593.725,75.341,1,1,389.008,N06 -> N09 -> N01 -> N10 -> N11 -> N13 -> N14 -> N03 -> N12 -> N07 -> N04 -> N08 -> N02 -> N05
609,0.02,bounded_blackout,784.282,3593.725,75.341,1,1,2264.563,N06 -> N09 -> N01 -> N10 -> N11 -> N13 -> N14 -> N03 -> N12 -> N07 -> N04 -> N08 -> N02 -> N05
609,0.05,distance_only,890.006,2934.49,100.093,0,1,0.022,N06 -> N09 -> N01 -> N13 -> N10 -> N11 -> N07 -> N12 -> N14 -> N08 -> N04 -> N02 -> N05 -> N03
609,0.05,protocol_aware,786.4,3593.725,75.341,1,1,389.008,N06 -> N09 -> N01 -> N10 -> N11 -> N13 -> N14 -> N03 -> N12 -> N07 -> N04 -> N08 -> N02 -> N05
609,0.05,bounded_blackout,786.4,3593.725,75.341,1,1,2264.563,N06 -> N09 -> N01 -> N10 -> N11 -> N13 -> N14 -> N03 -> N12 -> N07 -> N04 -> N08 -> N02 -> N05
609,0.1,distance_only,892.86,2934.49,98.828,0,1,0.022,N06 -> N09 -> N01 -> N13 -> N10 -> N11 -> N07 -> N12 -> N14 -> N08 -> N04 -> N02 -> N05 -> N03
609,0.1,protocol_aware,1005.926,3593.725,221.664,0,1,389.008,N06 -> N09 -> N01 -> N10 -> N11 -> N13 -> N14 -> N03 -> N12 -> N07 -> N04 -> N08 -> N02 -> N05
609,0.1,bounded_blackout,1005.926,3593.725,221.664,0,1,2264.563,N06 -> N09 -> N01 -> N10 -> N11 -> N13 -> N14 -> N03 -> N12 -> N07 -> N04 -> N08 -> N02 -> N05
610,0.0,distance_only,1472.439,2482.867,200.996,0,1,0.021,N09 -> N04 -> N03 -> N11 -> N14 -> N08 -> N06 -> N10 -> N12 -> N07 -> N05 -> N13 -> N01 -> N02
610,0.0,protocol_aware,1057.393,2923.228,87.779,1,1,373.09,N06 -> N03 -> N08 -> N05 -> N10 -> N07 -> N01 -> N02 -> N13 -> N14 -> N11 -> N12 -> N04 -> N09
610,0.0,bounded_blackout,1057.393,2923.228,87.779,1,1,2102.718,N06 -> N03 -> N08 -> N05 -> N10 -> N07 -> N01 -> N02 -> N13 -> N14 -> N11 -> N12 -> N04 -> N09
610,0.02,distance_only,1474.323,2482.867,196.816,0,1,0.021,N09 -> N04 -> N03 -> N11 -> N14 -> N08 -> N06 -> N10 -> N12 -> N07 -> N05 -> N13 -> N01 -> N02
610,0.02,protocol_aware,1057.433,2923.228,82.041,1,1,373.09,N06 -> N03 -> N08 -> N05 -> N10 -> N07 -> N01 -> N02 -> N13 -> N14 -> N11 -> N12 -> N04 -> N09
610,0.02,bounded_blackout,1057.433,2923.228,82.041,1,1,2102.718,N06 -> N03 -> N08 -> N05 -> N10 -> N07 -> N01 -> N02 -> N13 -> N14 -> N11 -> N12 -> N04 -> N09
610,0.05,distance_only,1477.277,2482.867,190.543,0,1,0.021,N09 -> N04 -> N03 -> N11 -> N14 -> N08 -> N06 -> N10 -> N12 -> N07 -> N05 -> N13 -> N01 -> N02
610,0.05,protocol_aware,1057.493,2923.228,73.431,1,1,373.09,N06 -> N03 -> N08 -> N05 -> N10 -> N07 -> N01 -> N02 -> N13 -> N14 -> N11 -> N12 -> N04 -> N09
610,0.05,bounded_blackout,1057.493,2923.228,73.431,1,1,2102.718,N06 -> N03 -> N08 -> N05 -> N10 -> N07 -> N01 -> N02 -> N13 -> N14 -> N11 -> N12 -> N04 -> N09
610,0.1,distance_only,1482.522,2482.867,194.788,0,1,0.021,N09 -> N04 -> N03 -> N11 -> N14 -> N08 -> N06 -> N10 -> N12 -> N07 -> N05 -> N13 -> N01 -> N02
610,0.1,protocol_aware,1057.596,2923.228,74.899,1,1,373.09,N06 -> N03 -> N08 -> N05 -> N10 -> N07 -> N01 -> N02 -> N13 -> N14 -> N11 -> N12 -> N04 -> N09
610,0.1,bounded_blackout,1057.596,2923.228,74.899,1,1,2102.718,N06 -> N03 -> N08 -> N05 -> N10 -> N07 -> N01 -> N02 -> N13 -> N14 -> N11 -> N12 -> N04 -> N09
611,0.0,distance_only,1019.116,2612.388,101.494,0,1,0.024,N03 -> N14 -> N12 -> N13 -> N09 -> N02 -> N10 -> N04 -> N01 -> N11 -> N08 -> N07 -> N06 -> N05
611,0.0,protocol_aware,818.282,3800.87,114.604,0,1,501.571,N03 -> N07 -> N06 -> N01 -> N08 -> N02 -> N11 -> N09 -> N10 -> N04 -> N05 -> N12 -> N14 -> N13
611,0.0,bounded_blackout,734.774,3094.238,57.733,1,1,2753.114,N03 -> N09 -> N12 -> N13 -> N14 -> N10 -> N04 -> N08 -> N07 -> N11 -> N06 -> N01 -> N02 -> N05
611,0.02,distance_only,1017.977,2612.388,103.744,0,1,0.024,N03 -> N14 -> N12 -> N13 -> N09 -> N02 -> N10 -> N04 -> N01 -> N11 -> N08 -> N07 -> N06 -> N05
611,0.02,protocol_aware,820.155,3800.87,112.162,0,1,501.571,N03 -> N07 -> N06 -> N01 -> N08 -> N02 -> N11 -> N09 -> N10 -> N04 -> N05 -> N12 -> N14 -> N13
611,0.02,bounded_blackout,1115.041,3094.238,113.15,0,1,2753.114,N03 -> N09 -> N12 -> N13 -> N14 -> N10 -> N04 -> N08 -> N07 -> N11 -> N06 -> N01 -> N02 -> N05
611,0.05,distance_only,1016.286,2612.388,101.737,0,1,0.024,N03 -> N14 -> N12 -> N13 -> N09 -> N02 -> N10 -> N04 -> N01 -> N11 -> N08 -> N07 -> N06 -> N05
611,0.05,protocol_aware,822.978,3800.87,108.351,0,1,501.571,N03 -> N07 -> N06 -> N01 -> N08 -> N02 -> N11 -> N09 -> N10 -> N04 -> N05 -> N12 -> N14 -> N13
611,0.05,bounded_blackout,1113.351,3094.238,108.812,0,1,2753.114,N03 -> N09 -> N12 -> N13 -> N14 -> N10 -> N04 -> N08 -> N07 -> N11 -> N06 -> N01 -> N02 -> N05
611,0.1,distance_only,1015.769,2612.388,108.744,0,1,0.024,N03 -> N14 -> N12 -> N13 -> N09 -> N02 -> N10 -> N04 -> N01 -> N11 -> N08 -> N07 -> N06 -> N05
611,0.1,protocol_aware,827.718,3800.87,101.577,0,1,501.571,N03 -> N07 -> N06 -> N01 -> N08 -> N02 -> N11 -> N09 -> N10 -> N04 -> N05 -> N12 -> N14 -> N13
611,0.1,bounded_blackout,1112.834,3094.238,110.191,0,1,2753.114,N03 -> N09 -> N12 -> N13 -> N14 -> N10 -> N04 -> N08 -> N07 -> N11 -> N06 -> N01 -> N02 -> N05
612,0.0,distance_only,1689.58,2989.805,194.48,0,0,0.02,N07 -> N04 -> N11 -> N09 -> N02 -> N03 -> N06 -> N10 -> N12 -> N05 -> N01 -> N08 -> N13 -> N14
612,0.0,protocol_aware,1143.613,5184.97,87.47,1,1,260.6,N08 -> N13 -> N02 -> N03 -> N01 -> N11 -> N06 -> N07 -> N05 -> N14 -> N04 -> N12 -> N10 -> N09
