scenario,planner,total_time_s,flight_distance_m,success_rate,mission_feasible,max_blackout_s,wait_time_s,service_time_s,reconnect_count,protocol_switches,radio_obstacle_hits,route,study,parameter,value
setup_cost_factor_0.50,protocol_aware,1390.389,3737.542,1.0,True,114.787,265.66,813.267,14,11,3,N02 -> N08 -> N12 -> N09 -> N05 -> N06 -> N04 -> N07 -> N10 -> N13 -> N11 -> N03 -> N14 -> N01,protocol_parameter,setup_cost_factor,0.5
setup_cost_factor_0.50,bounded_blackout,1325.557,3710.003,1.0,True,59.679,164.526,851.864,14,10,3,N14 -> N03 -> N02 -> N07 -> N04 -> N06 -> N12 -> N10 -> N08 -> N05 -> N09 -> N13 -> N11 -> N01,protocol_parameter,setup_cost_factor,0.5
setup_cost_factor_0.50,genetic_algorithm,1289.014,3392.841,1.0,True,62.975,180.481,825.796,14,11,3,N03 -> N08 -> N07 -> N12 -> N09 -> N06 -> N14 -> N13 -> N11 -> N04 -> N10 -> N05 -> N01 -> N02,protocol_parameter,setup_cost_factor,0.5
setup_cost_factor_0.50,particle_swarm,1462.437,4514.904,1.0,True,112.38,269.714,816.481,14,10,3,N11 -> N07 -> N10 -> N09 -> N06 -> N04 -> N12 -> N02 -> N08 -> N13 -> N03 -> N14 -> N05 -> N01,protocol_parameter,setup_cost_factor,0.5
setup_cost_factor_1.00,distance_only,2126.934,2906.071,1.0,False,203.015,1045.355,839.407,13,13,3,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_parameter,setup_cost_factor,1.0
setup_cost_factor_1.00,ordinary_collection,1609.248,2926.059,1.0,False,114.121,497.188,868.222,14,13,3,N14 -> N11 -> N10 -> N09 -> N12 -> N13 -> N08 -> N07 -> N06 -> N05 -> N04 -> N03 -> N02 -> N01,protocol_parameter,setup_cost_factor,1.0
setup_cost_factor_1.00,protocol_aware,1371.245,3147.929,1.0,True,87.981,244.276,864.642,14,12,3,N02 -> N12 -> N13 -> N06 -> N07 -> N08 -> N10 -> N05 -> N09 -> N11 -> N04 -> N01 -> N03 -> N14,protocol_parameter,setup_cost_factor,1.0
setup_cost_factor_1.00,bounded_blackout,1357.891,3023.825,1.0,True,56.461,231.51,874.396,14,13,3,N03 -> N11 -> N10 -> N12 -> N07 -> N09 -> N13 -> N06 -> N08 -> N05 -> N14 -> N01 -> N02 -> N04,protocol_parameter,setup_cost_factor,1.0
setup_cost_factor_1.00,genetic_algorithm,1493.225,4899.261,1.0,True,101.3,207.292,877.661,14,11,3,N12 -> N02 -> N09 -> N05 -> N06 -> N14 -> N13 -> N11 -> N08 -> N07 -> N04 -> N10 -> N01 -> N03,protocol_parameter,setup_cost_factor,1.0
setup_cost_factor_1.00,particle_swarm,1470.899,4027.962,1.0,True,116.623,301.32,833.915,14,11,3,N11 -> N13 -> N05 -> N10 -> N08 -> N12 -> N09 -> N03 -> N14 -> N02 -> N07 -> N04 -> N06 -> N01,protocol_parameter,setup_cost_factor,1.0
setup_cost_factor_1.50,distance_only,2129.184,2906.071,1.0,False,203.465,1024.805,862.207,13,13,3,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_parameter,setup_cost_factor,1.5
setup_cost_factor_1.50,ordinary_collection,1611.048,2926.059,1.0,False,114.571,475.988,891.222,14,13,3,N14 -> N11 -> N10 -> N09 -> N12 -> N13 -> N08 -> N07 -> N06 -> N05 -> N04 -> N03 -> N02 -> N01,protocol_parameter,setup_cost_factor,1.5
setup_cost_factor_1.50,protocol_aware,1359.147,3707.9,1.0,True,91.894,187.534,862.622,14,12,3,N04 -> N05 -> N10 -> N14 -> N06 -> N07 -> N08 -> N12 -> N09 -> N13 -> N02 -> N11 -> N01 -> N03,protocol_parameter,setup_cost_factor,1.5
setup_cost_factor_1.50,bounded_blackout,1391.275,3596.328,1.0,True,61.014,182.961,908.62,13,12,3,N01 -> N04 -> N02 -> N14 -> N03 -> N13 -> N11 -> N09 -> N05 -> N08 -> N12 -> N10 -> N06 -> N07,protocol_parameter,setup_cost_factor,1.5
setup_cost_factor_1.50,genetic_algorithm,1322.479,3503.036,1.0,True,88.438,153.933,876.626,14,13,3,N04 -> N11 -> N10 -> N14 -> N06 -> N07 -> N08 -> N02 -> N13 -> N12 -> N09 -> N05 -> N03 -> N01,protocol_parameter,setup_cost_factor,1.5
setup_cost_factor_1.50,particle_swarm,1359.141,3905.523,1.0,True,81.687,184.791,848.89,14,12,3,N08 -> N10 -> N12 -> N09 -> N13 -> N07 -> N14 -> N06 -> N05 -> N04 -> N02 -> N11 -> N01 -> N03,protocol_parameter,setup_cost_factor,1.5
setup_cost_factor_2.00,distance_only,2131.434,2906.071,1.0,False,203.915,1004.255,885.007,13,13,3,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_parameter,setup_cost_factor,2.0
setup_cost_factor_2.00,ordinary_collection,2131.434,2906.071,1.0,False,203.915,1004.255,885.007,13,13,3,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_parameter,setup_cost_factor,2.0
setup_cost_factor_2.00,protocol_aware,1391.563,3821.337,1.0,True,74.305,190.789,882.33,14,12,3,N02 -> N04 -> N06 -> N08 -> N12 -> N09 -> N13 -> N05 -> N03 -> N14 -> N11 -> N10 -> N01 -> N07,protocol_parameter,setup_cost_factor,2.0
setup_cost_factor_2.00,bounded_blackout,1391.563,3821.337,1.0,True,74.305,190.789,882.33,14,12,3,N02 -> N04 -> N06 -> N08 -> N12 -> N09 -> N13 -> N05 -> N03 -> N14 -> N11 -> N10 -> N01 -> N07,protocol_parameter,setup_cost_factor,2.0
setup_cost_factor_2.00,genetic_algorithm,1488.146,3234.511,1.0,True,93.888,298.782,919.822,14,12,3,N11 -> N05 -> N10 -> N09 -> N12 -> N07 -> N04 -> N06 -> N13 -> N14 -> N03 -> N08 -> N01 -> N02,protocol_parameter,setup_cost_factor,2.0
setup_cost_factor_2.00,particle_swarm,1468.893,3693.352,1.0,True,73.68,249.052,912.062,14,12,3,N09 -> N07 -> N06 -> N13 -> N11 -> N10 -> N08 -> N05 -> N14 -> N12 -> N03 -> N04 -> N02 -> N01,protocol_parameter,setup_cost_factor,2.0
sleep_cycle_factor_0.50,distance_only,1406.934,2906.071,1.0,True,99.421,325.355,839.407,13,13,3,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_parameter,sleep_cycle_factor,0.5
sleep_cycle_factor_0.50,ordinary_collection,1360.154,2926.059,1.0,True,74.651,248.094,868.222,14,13,3,N14 -> N11 -> N10 -> N09 -> N12 -> N13 -> N08 -> N07 -> N06 -> N05 -> N04 -> N03 -> N02 -> N01,protocol_parameter,sleep_cycle_factor,0.5
sleep_cycle_factor_0.50,protocol_aware,1236.651,3109.251,1.0,True,70.426,99.889,877.658,14,11,3,N14 -> N02 -> N13 -> N07 -> N12 -> N06 -> N08 -> N05 -> N11 -> N10 -> N09 -> N03 -> N01 -> N04,protocol_parameter,sleep_cycle_factor,0.5
sleep_cycle_factor_0.50,bounded_blackout,1236.651,3109.251,1.0,True,70.426,99.889,877.658,14,11,3,N14 -> N02 -> N13 -> N07 -> N12 -> N06 -> N08 -> N05 -> N11 -> N10 -> N09 -> N03 -> N01 -> N04,protocol_parameter,sleep_cycle_factor,0.5
sleep_cycle_factor_0.50,genetic_algorithm,1279.11,3975.907,1.0,True,69.348,117.635,830.149,13,10,3,N03 -> N02 -> N11 -> N14 -> N05 -> N06 -> N07 -> N01 -> N13 -> N12 -> N10 -> N04 -> N08 -> N09,protocol_parameter,sleep_cycle_factor,0.5
sleep_cycle_factor_0.50,particle_swarm,1279.11,3924.729,1.0,True,71.857,109.379,842.671,13,10,3,N03 -> N14 -> N11 -> N05 -> N07 -> N06 -> N01 -> N02 -> N13 -> N12 -> N10 -> N04 -> N08 -> N09,protocol_parameter,sleep_cycle_factor,0.5
