scenario,planner,total_time_s,max_blackout_s,mean_gap_s,average_silence_age_s,mean_collection_completion_s,meets_90s_budget,mission_feasible,runtime_ms,route
random_109,soft_penalty_w12,1357.641,74.954,37.377,9.602,692.623,1,1,203.763,N10 -> N14 -> N09 -> N02 -> N04 -> N03 -> N05 -> N13 -> N06 -> N11 -> N08 -> N12 -> N07 -> N01
random_109,average_gap,1357.641,74.954,37.377,9.602,692.623,1,1,688.433,N10 -> N14 -> N09 -> N02 -> N04 -> N03 -> N05 -> N13 -> N06 -> N11 -> N08 -> N12 -> N07 -> N01
random_109,freshness_focused,1457.061,88.969,44.963,13.552,471.987,1,1,698.13,N11 -> N14 -> N10 -> N03 -> N04 -> N02 -> N01 -> N06 -> N05 -> N13 -> N08 -> N12 -> N07 -> N09
random_109,bounded_beta90,1286.783,56.187,30.444,6.988,574.302,1,1,1636.987,N12 -> N14 -> N01 -> N02 -> N10 -> N04 -> N03 -> N07 -> N13 -> N05 -> N09 -> N11 -> N08 -> N06
random_110,distance_only,1390.61,125.894,46.634,17.422,853.828,0,1,0.028,N14 -> N07 -> N04 -> N06 -> N03 -> N05 -> N02 -> N09 -> N12 -> N01 -> N13 -> N11 -> N08 -> N10
random_110,ordinary_collection,1794.758,203.867,75.947,38.871,708.315,0,0,6.465,N10 -> N08 -> N11 -> N13 -> N01 -> N12 -> N09 -> N02 -> N05 -> N03 -> N06 -> N04 -> N07 -> N14
random_110,protocol_aware_time,1155.712,72.245,32.731,10.472,660.509,1,1,228.44,N14 -> N07 -> N13 -> N06 -> N03 -> N04 -> N02 -> N01 -> N12 -> N05 -> N09 -> N08 -> N11 -> N10
random_110,soft_penalty_w12,1291.337,85.427,42.316,13.006,503.038,1,1,299.497,N08 -> N11 -> N10 -> N06 -> N04 -> N12 -> N07 -> N05 -> N01 -> N13 -> N09 -> N14 -> N03 -> N02
random_110,average_gap,1160.428,60.251,30.616,8.428,683.69,1,1,697.078,N07 -> N09 -> N11 -> N14 -> N03 -> N05 -> N02 -> N04 -> N06 -> N10 -> N12 -> N01 -> N13 -> N08
random_110,freshness_focused,1314.867,73.166,43.186,12.102,578.674,1,1,734.734,N10 -> N08 -> N11 -> N01 -> N04 -> N12 -> N13 -> N09 -> N02 -> N03 -> N05 -> N06 -> N07 -> N14
random_110,bounded_beta90,1124.616,51.815,29.05,7.222,680.602,1,1,1534.063,N02 -> N10 -> N07 -> N14 -> N08 -> N12 -> N09 -> N01 -> N13 -> N05 -> N06 -> N03 -> N11 -> N04
random_111,distance_only,1805.903,196.249,71.812,32.267,1029.173,0,0,0.026,N09 -> N12 -> N10 -> N02 -> N07 -> N06 -> N13 -> N01 -> N05 -> N08 -> N03 -> N04 -> N11 -> N14
random_111,ordinary_collection,1925.907,196.196,79.631,32.482,1170.022,0,0,8.764,N09 -> N05 -> N08 -> N01 -> N13 -> N06 -> N07 -> N02 -> N10 -> N12 -> N04 -> N03 -> N11 -> N14
random_111,protocol_aware_time,1357.601,101.044,42.012,15.847,643.301,0,1,250.036,N12 -> N07 -> N06 -> N02 -> N05 -> N01 -> N13 -> N08 -> N09 -> N14 -> N03 -> N04 -> N10 -> N11
random_111,soft_penalty_w12,1401.009,80.108,44.915,13.547,786.487,1,1,301.876,N14 -> N08 -> N07 -> N01 -> N13 -> N06 -> N09 -> N11 -> N03 -> N04 -> N12 -> N05 -> N10 -> N02
random_111,average_gap,1266.847,97.916,35.716,12.363,620.185,0,1,844.151,N12 -> N07 -> N06 -> N02 -> N05 -> N08 -> N13 -> N01 -> N09 -> N10 -> N14 -> N03 -> N04 -> N11
random_111,freshness_focused,1356.704,97.566,41.097,13.412,539.637,0,1,798.709,N12 -> N14 -> N02 -> N03 -> N05 -> N08 -> N13 -> N01 -> N10 -> N04 -> N06 -> N07 -> N09 -> N11
random_111,bounded_beta90,1358.985,66.749,41.319,10.625,824.275,1,1,1747.875,N05 -> N04 -> N01 -> N08 -> N09 -> N06 -> N13 -> N02 -> N07 -> N12 -> N11 -> N03 -> N14 -> N10
random_112,distance_only,2001.998,177.012,75.205,26.925,1117.355,0,0,0.025,N06 -> N14 -> N12 -> N02 -> N08 -> N10 -> N07 -> N04 -> N01 -> N05 -> N03 -> N09 -> N11 -> N13
random_112,ordinary_collection,1949.864,201.014,73.043,31.392,900.18,0,0,11.024,N11 -> N09 -> N03 -> N05 -> N07 -> N04 -> N01 -> N10 -> N08 -> N02 -> N12 -> N13 -> N14 -> N06
random_112,protocol_aware_time,1343.188,126.028,31.893,12.318,805.954,0,1,392.405,N04 -> N13 -> N01 -> N05 -> N03 -> N10 -> N07 -> N09 -> N12 -> N14 -> N06 -> N08 -> N11 -> N02
random_112,soft_penalty_w12,1355.21,69.261,31.365,8.084,726.771,1,1,249.82,N08 -> N06 -> N09 -> N12 -> N03 -> N10 -> N13 -> N04 -> N11 -> N05 -> N07 -> N14 -> N01 -> N02
random_112,average_gap,1347.866,88.999,28.034,7.417,831.65,1,1,839.88,N10 -> N09 -> N11 -> N05 -> N07 -> N13 -> N03 -> N04 -> N14 -> N01 -> N06 -> N08 -> N12 -> N02
random_112,freshness_focused,1467.845,116.568,41.043,14.379,613.833,0,1,812.137,N09 -> N11 -> N01 -> N05 -> N04 -> N10 -> N07 -> N08 -> N03 -> N02 -> N12 -> N13 -> N14 -> N06
random_112,bounded_beta90,1306.723,53.722,29.943,6.682,489.829,1,1,1774.934,N02 -> N03 -> N12 -> N06 -> N09 -> N04 -> N07 -> N01 -> N05 -> N11 -> N14 -> N08 -> N13 -> N10
random_113,distance_only,1833.763,163.424,78.775,32.542,1016.611,0,0,0.026,N06 -> N14 -> N03 -> N04 -> N05 -> N13 -> N10 -> N12 -> N11 -> N01 -> N02 -> N08 -> N09 -> N07
random_113,ordinary_collection,1540.44,113.564,58.76,22.943,748.59,0,0,14.609,N14 -> N04 -> N05 -> N13 -> N10 -> N12 -> N11 -> N02 -> N01 -> N08 -> N07 -> N09 -> N03 -> N06
random_113,protocol_aware_time,1280.654,79.595,40.427,13.142,729.597,1,1,285.69,N02 -> N07 -> N13 -> N04 -> N06 -> N01 -> N11 -> N12 -> N10 -> N03 -> N05 -> N08 -> N09 -> N14
random_113,soft_penalty_w12,1178.752,87.641,33.912,11.743,651.251,1,1,281.068,N14 -> N09 -> N07 -> N13 -> N04 -> N06 -> N01 -> N12 -> N08 -> N10 -> N02 -> N11 -> N03 -> N05
random_113,average_gap,1210.248,77.299,33.947,8.903,703.985,1,1,825.924,N08 -> N11 -> N10 -> N05 -> N06 -> N12 -> N02 -> N07 -> N13 -> N01 -> N03 -> N09 -> N04 -> N14
random_113,freshness_focused,1327.133,121.657,44.294,17.871,514.104,0,1,841.767,N03 -> N09 -> N14 -> N10 -> N05 -> N12 -> N08 -> N11 -> N01 -> N02 -> N07 -> N13 -> N04 -> N06
random_113,bounded_beta90,1215.749,61.696,35.774,9.824,686.054,1,1,1951.721,N04 -> N13 -> N05 -> N10 -> N06 -> N07 -> N02 -> N12 -> N11 -> N01 -> N03 -> N09 -> N08 -> N14
random_114,distance_only,1415.02,104.473,60.87,22.881,751.444,0,1,0.025,N09 -> N13 -> N14 -> N12 -> N01 -> N10 -> N02 -> N04 -> N03 -> N06 -> N07 -> N05 -> N08 -> N11
random_114,ordinary_collection,1416.781,186.626,61.764,31.79,695.708,0,1,10.202,N08 -> N05 -> N07 -> N02 -> N06 -> N04 -> N03 -> N01 -> N10 -> N12 -> N11 -> N14 -> N13 -> N09
random_114,protocol_aware_time,1145.268,110.325,43.162,18.905,582.043,0,1,250.481,N04 -> N03 -> N01 -> N02 -> N10 -> N12 -> N06 -> N07 -> N05 -> N14 -> N08 -> N09 -> N13 -> N11
random_114,soft_penalty_w12,1163.512,88.606,42.972,16.151,563.374,1,1,534.907,N10 -> N03 -> N01 -> N07 -> N08 -> N09 -> N05 -> N02 -> N12 -> N06 -> N11 -> N13 -> N14 -> N04
random_114,average_gap,1102.439,84.395,38.331,12.166,672.801,1,1,956.751,N07 -> N03 -> N06 -> N12 -> N04 -> N05 -> N09 -> N08 -> N11 -> N01 -> N02 -> N13 -> N14 -> N10
random_114,freshness_focused,1189.604,131.632,46.22,19.265,514.348,0,1,985.78,N01 -> N02 -> N07 -> N05 -> N08 -> N04 -> N03 -> N06 -> N09 -> N10 -> N14 -> N11 -> N13 -> N12
random_114,bounded_beta90,1148.039,57.22,43.222,13.361,571.657,1,1,2074.673,N13 -> N12 -> N01 -> N05 -> N02 -> N10 -> N04 -> N06 -> N03 -> N07 -> N08 -> N09 -> N14 -> N11
random_115,distance_only,1000.335,81.445,40.141,16.909,465.788,1,1,0.028,N05 -> N03 -> N01 -> N12 -> N14 -> N07 -> N02 -> N08 -> N10 -> N06 -> N09 -> N11 -> N13 -> N04
random_115,ordinary_collection,1033.359,156.155,42.966,23.016,536.691,0,1,11.285,N01 -> N06 -> N09 -> N08 -> N11 -> N02 -> N10 -> N12 -> N14 -> N07 -> N13 -> N04 -> N03 -> N05
random_115,protocol_aware_time,895.831,75.352,33.719,12.257,338.928,1,1,134.31,N05 -> N01 -> N06 -> N09 -> N08 -> N03 -> N14 -> N12 -> N04 -> N02 -> N07 -> N10 -> N11 -> N13
random_115,soft_penalty_w12,895.831,75.352,33.719,12.257,338.928,1,1,149.345,N05 -> N01 -> N06 -> N09 -> N08 -> N03 -> N14 -> N12 -> N04 -> N02 -> N07 -> N10 -> N11 -> N13
random_115,average_gap,895.963,66.39,33.029,11.872,339.658,1,1,446.889,N05 -> N01 -> N02 -> N09 -> N08 -> N03 -> N06 -> N14 -> N07 -> N12 -> N04 -> N10 -> N11 -> N13
random_115,freshness_focused,813.581,51.056,27.142,8.298,324.422,1,1,467.561,N05 -> N01 -> N06 -> N09 -> N12 -> N03 -> N07 -> N08 -> N13 -> N02 -> N04 -> N10 -> N14 -> N11
random_115,bounded_beta90,773.859,49.407,25.254,8.162,402.356,1,1,1096.232,N03 -> N01 -> N13 -> N12 -> N09 -> N10 -> N06 -> N08 -> N11 -> N07 -> N14 -> N04 -> N02 -> N05
random_116,distance_only,1686.449,234.2,74.609,35.86,860.061,0,0,0.027,N13 -> N14 -> N09 -> N04 -> N10 -> N06 -> N05 -> N12 -> N07 -> N08 -> N11 -> N01 -> N03 -> N02
random_116,ordinary_collection,1621.273,198.926,71.153,34.082,878.656,0,0,15.412,N13 -> N14 -> N06 -> N10 -> N04 -> N09 -> N05 -> N12 -> N07 -> N03 -> N02 -> N01 -> N11 -> N08
random_116,protocol_aware_time,1110.407,68.022,35.482,10.6,703.071,1,1,300.681,N04 -> N03 -> N14 -> N09 -> N10 -> N05 -> N06 -> N12 -> N01 -> N07 -> N11 -> N13 -> N08 -> N02
random_116,soft_penalty_w12,1120.281,81.756,37.577,12.176,562.649,1,1,302.918,N11 -> N12 -> N07 -> N09 -> N03 -> N05 -> N14 -> N10 -> N06 -> N02 -> N04 -> N01 -> N13 -> N08
random_116,average_gap,1066.616,67.448,33.489,10.7,609.959,1,1,847.298,N12 -> N04 -> N03 -> N14 -> N09 -> N10 -> N06 -> N02 -> N07 -> N01 -> N13 -> N05 -> N08 -> N11
random_116,freshness_focused,1244.539,105.851,46.205,16.313,442.338,0,1,908.624,N08 -> N12 -> N07 -> N01 -> N11 -> N14 -> N13 -> N02 -> N10 -> N06 -> N04 -> N03 -> N09 -> N05
random_116,bounded_beta90,1064.875,61.284,33.131,9.812,631.238,1,1,1797.95,N12 -> N04 -> N03 -> N13 -> N09 -> N06 -> N10 -> N05 -> N07 -> N01 -> N14 -> N02 -> N08 -> N11
random_117,distance_only,1204.676,97.947,52.124,21.367,631.593,0,1,0.026,N01 -> N14 -> N08 -> N05 -> N12 -> N09 -> N04 -> N03 -> N02 -> N13 -> N06 -> N11 -> N07 -> N10
random_117,ordinary_collection,1308.594,221.541,59.147,34.343,672.007,0,1,11.183,N01 -> N10 -> N03 -> N13 -> N06 -> N11 -> N02 -> N07 -> N04 -> N09 -> N12 -> N05 -> N08 -> N14
random_117,protocol_aware_time,913.755,92.815,32.89,13.534,570.703,0,1,241.55,N01 -> N06 -> N07 -> N12 -> N09 -> N05 -> N03 -> N04 -> N11 -> N13 -> N02 -> N10 -> N14 -> N08
random_117,soft_penalty_w12,913.756,89.657,32.281,12.931,568.373,1,1,298.658,N01 -> N06 -> N05 -> N12 -> N09 -> N07 -> N03 -> N04 -> N11 -> N13 -> N02 -> N10 -> N14 -> N08
random_117,average_gap,913.802,89.657,32.272,12.578,570.745,1,1,584.425,N01 -> N06 -> N05 -> N12 -> N09 -> N13 -> N03 -> N04 -> N11 -> N07 -> N02 -> N10 -> N14 -> N08
random_117,freshness_focused,1228.49,203.364,53.011,39.576,370.48,0,1,644.902,N14 -> N10 -> N05 -> N12 -> N08 -> N07 -> N04 -> N02 -> N03 -> N13 -> N11 -> N09 -> N01 -> N06
random_117,bounded_beta90,809.35,45.335,25.194,7.52,408.53,1,1,1520.503,N14 -> N08 -> N05 -> N12 -> N09 -> N10 -> N06 -> N02 -> N03 -> N13 -> N07 -> N04 -> N11 -> N01
random_118,distance_only,1301.094,129.863,49.985,20.174,746.647,0,1,0.025,N12 -> N09 -> N04 -> N06 -> N03 -> N05 -> N10 -> N02 -> N01 -> N14 -> N07 -> N11 -> N13 -> N08
random_118,ordinary_collection,1253.426,129.863,46.807,19.299,736.831,0,1,15.246,N12 -> N09 -> N04 -> N06 -> N03 -> N05 -> N10 -> N02 -> N01 -> N14 -> N07 -> N08 -> N11 -> N13
random_118,protocol_aware_time,1077.578,72.1,34.09,10.183,418.742,1,1,352.919,N13 -> N08 -> N01 -> N14 -> N04 -> N07 -> N11 -> N05 -> N09 -> N10 -> N12 -> N02 -> N06 -> N03
random_118,soft_penalty_w12,1077.577,77.374,34.092,10.292,424.127,1,1,388.336,N13 -> N14 -> N01 -> N08 -> N04 -> N11 -> N05 -> N07 -> N09 -> N10 -> N12 -> N02 -> N06 -> N03
random_118,average_gap,1077.779,74.884,33.959,11.687,435.219,1,1,939.153,N13 -> N10 -> N01 -> N14 -> N08 -> N07 -> N11 -> N05 -> N04 -> N09 -> N12 -> N02 -> N06 -> N03
random_118,freshness_focused,1097.21,72.055,37.522,11.247,397.021,1,1,946.433,N13 -> N11 -> N01 -> N08 -> N10 -> N09 -> N04 -> N12 -> N07 -> N14 -> N05 -> N02 -> N06 -> N03
random_118,bounded_beta90,1077.578,72.1,34.09,10.183,418.742,1,1,2162.647,N13 -> N08 -> N01 -> N14 -> N04 -> N07 -> N11 -> N05 -> N09 -> N10 -> N12 -> N02 -> N06 -> N03
random_119,distance_only,1130.309,217.865,47.013,33.229,609.412,0,1,0.025,N09 -> N08 -> N11 -> N03 -> N13 -> N01 -> N02 -> N06 -> N07 -> N05 -> N14 -> N12 -> N04 -> N10
random_119,ordinary_collection,1434.33,152.474,66.984,33.304,826.971,0,1,11.928,N09 -> N10 -> N04 -> N12 -> N14 -> N05 -> N07 -> N06 -> N02 -> N01 -> N13 -> N03 -> N11 -> N08
random_119,protocol_aware_time,952.776,84.358,34.32,13.32,440.82,1,1,326.367,N10 -> N05 -> N07 -> N02 -> N06 -> N03 -> N08 -> N09 -> N13 -> N01 -> N14 -> N12 -> N04 -> N11
random_119,soft_penalty_w12,1043.844,84.943,40.673,14.448,561.224,1,1,405.969,N13 -> N11 -> N08 -> N12 -> N10 -> N05 -> N07 -> N14 -> N01 -> N04 -> N06 -> N09 -> N03 -> N02
random_119,average_gap,952.776,84.358,34.32,13.32,440.82,1,1,892.456,N10 -> N05 -> N07 -> N02 -> N06 -> N03 -> N08 -> N09 -> N13 -> N01 -> N14 -> N12 -> N04 -> N11
random_119,freshness_focused,963.039,63.516,35.108,12.646,405.505,1,1,932.018,N09 -> N03 -> N01 -> N08 -> N13 -> N06 -> N14 -> N02 -> N10 -> N05 -> N07 -> N12 -> N04 -> N11
random_119,bounded_beta90,952.776,84.358,34.32,13.32,440.82,1,1,1852.374,N10 -> N05 -> N07 -> N02 -> N06 -> N03 -> N08 -> N09 -> N13 -> N01 -> N14 -> N12 -> N04 -> N11
random_120,distance_only,1382.829,108.256,54.851,22.74,813.207,0,1,0.026,N10 -> N07 -> N14 -> N02 -> N05 -> N03 -> N06 -> N13 -> N12 -> N08 -> N09 -> N01 -> N04 -> N11
random_120,ordinary_collection,1526.014,214.281,63.752,34.607,864.742,0,0,18.724,N02 -> N05 -> N03 -> N06 -> N13 -> N12 -> N08 -> N09 -> N01 -> N04 -> N11 -> N14 -> N07 -> N10
random_120,protocol_aware_time,1268.556,98.925,47.467,16.29,587.245,0,1,259.276,N08 -> N09 -> N06 -> N01 -> N12 -> N11 -> N04 -> N03 -> N13 -> N14 -> N07 -> N05 -> N10 -> N02
random_120,soft_penalty_w12,1155.189,63.021,39.368,13.047,543.455,1,1,279.062,N08 -> N11 -> N04 -> N09 -> N01 -> N06 -> N07 -> N12 -> N13 -> N03 -> N10 -> N02 -> N14 -> N05
random_120,average_gap,1224.961,78.972,42.376,13.53,714.852,1,1,754.334,N05 -> N13 -> N08 -> N02 -> N12 -> N06 -> N03 -> N09 -> N01 -> N04 -> N11 -> N14 -> N10 -> N07
random_120,freshness_focused,1268.564,228.692,47.392,30.17,526.256,0,1,735.266,N09 -> N11 -> N12 -> N01 -> N03 -> N06 -> N08 -> N04 -> N13 -> N14 -> N07 -> N05 -> N10 -> N02
random_120,bounded_beta90,1021.744,48.711,28.171,7.66,571.416,1,1,1756.73,N05 -> N13 -> N03 -> N06 -> N11 -> N07 -> N04 -> N01 -> N12 -> N02 -> N08 -> N09 -> N14 -> N10
random_121,distance_only,1292.03,120.295,64.589,30.903,540.089,0,1,0.024,N10 -> N11 -> N05 -> N06 -> N12 -> N02 -> N14 -> N04 -> N03 -> N07 -> N13 -> N08 -> N01 -> N09
random_121,ordinary_collection,1220.264,102.562,59.717,26.793,655.641,0,1,20.561,N10 -> N11 -> N08 -> N01 -> N09 -> N13 -> N05 -> N07 -> N06 -> N12 -> N02 -> N03 -> N14 -> N04
random_121,protocol_aware_time,931.089,78.662,39.545,14.825,463.823,1,1,310.191,N03 -> N02 -> N05 -> N14 -> N07 -> N12 -> N13 -> N11 -> N06 -> N04 -> N09 -> N08 -> N10 -> N01
random_121,soft_penalty_w12,935.331,71.989,39.774,15.809,394.276,1,1,166.611,N04 -> N11 -> N05 -> N12 -> N13 -> N06 -> N08 -> N09 -> N07 -> N02 -> N03 -> N14 -> N10 -> N01
random_121,average_gap,931.157,110.034,39.495,18.232,440.938,0,1,744.526,N14 -> N03 -> N06 -> N02 -> N04 -> N12 -> N05 -> N11 -> N07 -> N13 -> N08 -> N09 -> N10 -> N01
random_121,freshness_focused,935.085,91.597,39.757,18.089,376.287,0,1,781.125,N13 -> N11 -> N05 -> N12 -> N04 -> N03 -> N14 -> N06 -> N07 -> N08 -> N09 -> N02 -> N10 -> N01
random_121,bounded_beta90,858.385,56.626,34.728,12.211,496.13,1,1,1712.323,N01 -> N13 -> N09 -> N08 -> N10 -> N11 -> N14 -> N07 -> N03 -> N02 -> N05 -> N06 -> N12 -> N04
random_122,distance_only,1289.571,113.49,54.352,21.161,653.015,0,1,0.025,N08 -> N13 -> N04 -> N07 -> N06 -> N03 -> N01 -> N12 -> N11 -> N05 -> N10 -> N02 -> N14 -> N09
random_122,ordinary_collection,1357.873,113.49,58.305,23.356,687.944,0,1,14.297,N08 -> N13 -> N04 -> N07 -> N06 -> N03 -> N01 -> N12 -> N11 -> N10 -> N02 -> N05 -> N09 -> N14
random_122,protocol_aware_time,923.362,84.64,28.921,9.885,368.931,1,1,217.254,N08 -> N04 -> N06 -> N02 -> N10 -> N12 -> N11 -> N05 -> N03 -> N09 -> N01 -> N14 -> N13 -> N07
random_122,soft_penalty_w12,923.362,84.64,28.921,9.885,368.931,1,1,276.145,N08 -> N04 -> N06 -> N02 -> N10 -> N12 -> N11 -> N05 -> N03 -> N09 -> N01 -> N14 -> N13 -> N07
random_122,average_gap,923.362,84.64,28.921,9.885,368.931,1,1,595.243,N08 -> N04 -> N06 -> N02 -> N10 -> N12 -> N11 -> N05 -> N03 -> N09 -> N01 -> N14 -> N13 -> N07
random_122,freshness_focused,941.813,70.713,30.169,9.542,343.554,1,1,598.741,N08 -> N04 -> N06 -> N02 -> N10 -> N12 -> N11 -> N05 -> N03 -> N13 -> N14 -> N01 -> N09 -> N07
random_122,bounded_beta90,872.366,47.109,25.31,6.814,371.046,1,1,1492.532,N13 -> N04 -> N06 -> N02 -> N10 -> N12 -> N11 -> N05 -> N03 -> N09 -> N07 -> N08 -> N01 -> N14
random_123,distance_only,2017.966,206.182,88.229,37.572,1053.607,0,0,0.024,N14 -> N04 -> N11 -> N01 -> N05 -> N07 -> N12 -> N06 -> N09 -> N10 -> N02 -> N08 -> N03 -> N13
random_123,ordinary_collection,1799.244,157.028,74.271,30.358,1001.817,0,0,14.703,N14 -> N02 -> N08 -> N10 -> N03 -> N13 -> N09 -> N06 -> N12 -> N01 -> N05 -> N07 -> N11 -> N04
random_123,protocol_aware_time,1296.804,91.809,39.545,12.696,551.137,0,1,333.854,N13 -> N09 -> N03 -> N08 -> N07 -> N05 -> N11 -> N06 -> N10 -> N01 -> N14 -> N02 -> N04 -> N12
random_123,soft_penalty_w12,1277.051,76.152,38.869,11.59,718.153,1,1,415.814,N14 -> N08 -> N10 -> N13 -> N06 -> N03 -> N09 -> N01 -> N07 -> N12 -> N05 -> N04 -> N11 -> N02
random_123,average_gap,1191.048,115.898,31.754,11.482,729.811,0,1,969.754,N12 -> N09 -> N06 -> N08 -> N05 -> N07 -> N14 -> N11 -> N10 -> N01 -> N02 -> N04 -> N13 -> N03
random_123,freshness_focused,1304.637,157.028,41.559,18.939,509.862,0,1,972.848,N03 -> N09 -> N13 -> N04 -> N11 -> N07 -> N05 -> N08 -> N10 -> N01 -> N02 -> N14 -> N06 -> N12
random_123,bounded_beta90,1083.308,41.412,24.533,5.267,565.274,1,1,2116.244,N11 -> N09 -> N06 -> N05 -> N10 -> N07 -> N02 -> N03 -> N08 -> N12 -> N14 -> N01 -> N13 -> N04
random_124,distance_only,1890.695,148.482,51.88,16.893,1233.655,0,0,0.025,N03 -> N06 -> N02 -> N05 -> N14 -> N10 -> N04 -> N11 -> N12 -> N07 -> N08 -> N01 -> N09 -> N13
random_124,ordinary_collection,2106.695,167.813,66.895,24.957,1250.395,0,0,14.355,N03 -> N06 -> N02 -> N05 -> N14 -> N11 -> N04 -> N10 -> N12 -> N07 -> N08 -> N01 -> N09 -> N13
random_124,protocol_aware_time,1545.552,103.212,31.246,8.047,693.441,0,0,273.168,N14 -> N09 -> N01 -> N12 -> N08 -> N04 -> N10 -> N11 -> N13 -> N05 -> N07 -> N03 -> N02 -> N06
random_124,soft_penalty_w12,1621.175,56.51,33.798,6.343,962.299,1,0,317.115,N05 -> N06 -> N07 -> N01 -> N09 -> N08 -> N13 -> N04 -> N12 -> N02 -> N11 -> N03 -> N14 -> N10
random_124,average_gap,1545.534,60.519,30.282,5.896,685.573,1,0,824.65,N09 -> N01 -> N04 -> N11 -> N12 -> N14 -> N10 -> N08 -> N13 -> N05 -> N07 -> N03 -> N02 -> N06
random_124,freshness_focused,1665.234,107.1,37.804,9.681,559.75,0,0,849.545,N03 -> N09 -> N01 -> N12 -> N13 -> N04 -> N14 -> N02 -> N06 -> N07 -> N05 -> N11 -> N08 -> N10
random_124,bounded_beta90,1545.552,103.212,31.246,8.047,693.441,0,0,1892.601,N14 -> N09 -> N01 -> N12 -> N08 -> N04 -> N10 -> N11 -> N13 -> N05 -> N07 -> N03 -> N02 -> N06
random_125,distance_only,1822.537,144.421,72.259,26.977,869.985,0,0,0.024,N10 -> N02 -> N13 -> N08 -> N12 -> N03 -> N07 -> N11 -> N09 -> N14 -> N01 -> N06 -> N05 -> N04
random_125,ordinary_collection,1578.362,187.746,56.036,24.533,996.318,0,0,20.546,N05 -> N06 -> N01 -> N14 -> N09 -> N11 -> N07 -> N12 -> N03 -> N04 -> N08 -> N13 -> N02 -> N10
random_125,protocol_aware_time,1143.192,59.091,25.914,6.11,732.411,1,1,314.683,N06 -> N13 -> N08 -> N03 -> N07 -> N12 -> N04 -> N11 -> N01 -> N09 -> N14 -> N05 -> N02 -> N10
random_125,soft_penalty_w12,1446.526,85.444,47.286,15.888,618.79,1,1,225.466,N05 -> N02 -> N10 -> N01 -> N06 -> N11 -> N08 -> N09 -> N12 -> N04 -> N03 -> N13 -> N14 -> N07
random_125,average_gap,1143.192,59.091,25.914,6.11,732.411,1,1,826.819,N06 -> N13 -> N08 -> N03 -> N07 -> N12 -> N04 -> N11 -> N01 -> N09 -> N14 -> N05 -> N02 -> N10
random_125,freshness_focused,1342.542,111.441,41.191,14.399,617.74,0,1,828.583,N08 -> N10 -> N13 -> N02 -> N11 -> N03 -> N07 -> N12 -> N14 -> N09 -> N01 -> N06 -> N05 -> N04
random_125,bounded_beta90,1143.192,59.091,25.914,6.11,732.411,1,1,1802.625,N06 -> N13 -> N08 -> N03 -> N07 -> N12 -> N04 -> N11 -> N01 -> N09 -> N14 -> N05 -> N02 -> N10
random_126,distance_only,1736.895,164.819,76.236,29.677,964.849,0,0,0.025,N10 -> N05 -> N01 -> N11 -> N13 -> N09 -> N14 -> N02 -> N04 -> N03 -> N08 -> N06 -> N12 -> N07
random_126,ordinary_collection,1352.895,219.352,50.379,29.774,820.98,0,1,9.338,N10 -> N01 -> N05 -> N11 -> N13 -> N14 -> N09 -> N02 -> N04 -> N03 -> N06 -> N08 -> N12 -> N07
random_126,protocol_aware_time,1217.619,79.213,40.412,13.442,576.567,1,1,312.905,N06 -> N09 -> N04 -> N02 -> N14 -> N07 -> N11 -> N08 -> N13 -> N12 -> N05 -> N03 -> N10 -> N01
random_126,soft_penalty_w12,1216.949,69.476,39.988,12.647,540.163,1,1,285.283,N13 -> N02 -> N09 -> N14 -> N06 -> N11 -> N04 -> N10 -> N03 -> N12 -> N05 -> N07 -> N01 -> N08
random_126,average_gap,1228.702,73.876,39.561,11.964,538.48,1,1,903.325,N06 -> N09 -> N04 -> N13 -> N14 -> N07 -> N11 -> N12 -> N01 -> N02 -> N05 -> N03 -> N10 -> N08
random_126,freshness_focused,1287.131,88.544,44.675,15.777,495.994,1,1,903.127,N07 -> N06 -> N03 -> N12 -> N14 -> N09 -> N13 -> N10 -> N05 -> N01 -> N02 -> N08 -> N04 -> N11
random_126,bounded_beta90,999.241,55.666,25.459,6.767,536.722,1,1,2084.466,N07 -> N12 -> N08 -> N10 -> N06 -> N11 -> N03 -> N02 -> N01 -> N13 -> N14 -> N09 -> N04 -> N05
random_127,distance_only,1834.489,154.93,76.651,29.681,915.463,0,0,0.026,N06 -> N02 -> N11 -> N07 -> N03 -> N13 -> N08 -> N05 -> N04 -> N14 -> N09 -> N01 -> N12 -> N10
random_127,ordinary_collection,1481.161,228.958,52.669,28.467,870.422,0,1,10.063,N06 -> N10 -> N12 -> N01 -> N14 -> N09 -> N04 -> N05 -> N03 -> N08 -> N13 -> N07 -> N11 -> N02
random_127,protocol_aware_time,1322.245,85.325,40.86,13.354,681.227,1,1,461.674,N06 -> N10 -> N14 -> N05 -> N12 -> N09 -> N03 -> N07 -> N04 -> N11 -> N02 -> N01 -> N08 -> N13
random_127,soft_penalty_w12,1248.08,71.117,36.417,10.588,692.236,1,1,576.332,N04 -> N11 -> N06 -> N12 -> N05 -> N14 -> N01 -> N09 -> N03 -> N07 -> N08 -> N13 -> N02 -> N10
random_127,average_gap,1295.342,81.072,38.539,10.823,717.641,1,1,1313.602,N11 -> N04 -> N01 -> N07 -> N12 -> N14 -> N09 -> N10 -> N06 -> N13 -> N03 -> N08 -> N05 -> N02
