scenario,planner,total_time_s,max_blackout_s,mean_gap_s,average_silence_age_s,mean_collection_completion_s,meets_90s_budget,mission_feasible,runtime_ms,route
random_128,distance_only,1763.329,224.275,66.332,29.827,892.522,0,0,0.025,N14 -> N13 -> N05 -> N01 -> N08 -> N03 -> N11 -> N06 -> N12 -> N02 -> N10 -> N07 -> N09 -> N04
random_128,ordinary_collection,2048.196,224.199,84.289,43.68,874.433,0,0,21.621,N14 -> N06 -> N11 -> N13 -> N05 -> N01 -> N08 -> N02 -> N12 -> N04 -> N09 -> N10 -> N07 -> N03
random_128,protocol_aware_time,1254.234,95.901,34.694,10.937,700.216,0,1,225.165,N08 -> N04 -> N07 -> N10 -> N09 -> N14 -> N06 -> N02 -> N12 -> N01 -> N03 -> N13 -> N05 -> N11
random_128,soft_penalty_w12,1251.487,65.716,34.57,8.985,460.644,1,1,411.302,N05 -> N08 -> N06 -> N14 -> N12 -> N02 -> N09 -> N01 -> N04 -> N07 -> N10 -> N13 -> N03 -> N11
random_128,average_gap,1254.59,90.227,31.474,9.05,573.099,0,1,676.598,N02 -> N01 -> N09 -> N07 -> N08 -> N04 -> N06 -> N14 -> N12 -> N10 -> N03 -> N13 -> N05 -> N11
random_128,freshness_focused,1493.145,178.981,47.954,19.727,544.901,0,1,653.405,N05 -> N04 -> N02 -> N12 -> N08 -> N09 -> N06 -> N14 -> N07 -> N01 -> N03 -> N10 -> N13 -> N11
random_128,bounded_beta90,1254.425,64.165,31.982,8.483,759.902,1,1,1508.576,N10 -> N12 -> N07 -> N09 -> N02 -> N08 -> N06 -> N14 -> N04 -> N01 -> N03 -> N13 -> N05 -> N11
random_129,distance_only,981.524,96.126,41.541,18.06,530.935,0,1,0.024,N11 -> N10 -> N13 -> N06 -> N08 -> N07 -> N01 -> N02 -> N03 -> N09 -> N04 -> N14 -> N05 -> N12
random_129,ordinary_collection,1198.158,144.586,55.893,25.875,525.741,0,1,14.45,N11 -> N06 -> N02 -> N01 -> N07 -> N08 -> N03 -> N14 -> N04 -> N09 -> N05 -> N12 -> N13 -> N10
random_129,protocol_aware_time,789.525,77.307,28.192,12.057,380.987,1,1,185.687,N13 -> N11 -> N06 -> N01 -> N07 -> N08 -> N02 -> N10 -> N03 -> N09 -> N04 -> N14 -> N05 -> N12
