scenario_seed,phase_error_s,planner,total_time_s,flight_distance_m,max_blackout_s,meets_90s_budget,mission_feasible,planning_runtime_ms,route
704,0.0,protocol_aware,1191.071,3155.69,110.035,0,1,243.498,N11 -> N06 -> N12 -> N01 -> N08 -> N02 -> N10 -> N05 -> N07 -> N14 -> N09 -> N03 -> N04 -> N13
704,0.0,bounded_blackout,1038.355,3166.393,61.563,1,1,1825.877,N11 -> N14 -> N10 -> N06 -> N03 -> N13 -> N09 -> N04 -> N01 -> N05 -> N07 -> N08 -> N12 -> N02
704,2.0,distance_only,1884.319,3343.178,194.938,0,0,0.021,N14 -> N13 -> N03 -> N04 -> N06 -> N01 -> N10 -> N02 -> N12 -> N11 -> N09 -> N08 -> N07 -> N05
704,2.0,protocol_aware,1189.761,3155.69,108.822,0,1,243.498,N11 -> N06 -> N12 -> N01 -> N08 -> N02 -> N10 -> N05 -> N07 -> N14 -> N09 -> N03 -> N04 -> N13
704,2.0,bounded_blackout,1039.446,3166.393,61.563,1,1,1825.877,N11 -> N14 -> N10 -> N06 -> N03 -> N13 -> N09 -> N04 -> N01 -> N05 -> N07 -> N08 -> N12 -> N02
704,5.0,distance_only,1888.412,3343.178,197.448,0,0,0.021,N14 -> N13 -> N03 -> N04 -> N06 -> N01 -> N10 -> N02 -> N12 -> N11 -> N09 -> N08 -> N07 -> N05
704,5.0,protocol_aware,1428.924,3155.69,228.852,0,1,243.498,N11 -> N06 -> N12 -> N01 -> N08 -> N02 -> N10 -> N05 -> N07 -> N14 -> N09 -> N03 -> N04 -> N13
704,5.0,bounded_blackout,1399.095,3166.393,167.006,0,1,1825.877,N11 -> N14 -> N10 -> N06 -> N03 -> N13 -> N09 -> N04 -> N01 -> N05 -> N07 -> N08 -> N12 -> N02
704,10.0,distance_only,1892.03,3343.178,207.365,0,0,0.021,N14 -> N13 -> N03 -> N04 -> N06 -> N01 -> N10 -> N02 -> N12 -> N11 -> N09 -> N08 -> N07 -> N05
704,10.0,protocol_aware,1423.068,3155.69,213.279,0,1,243.498,N11 -> N06 -> N12 -> N01 -> N08 -> N02 -> N10 -> N05 -> N07 -> N14 -> N09 -> N03 -> N04 -> N13
